,1stFlrSF,2ndFlrSF,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFullBath,BsmtQual,CentralAir,ExterQual,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,GarageArea,GarageCars,GarageFinish,GarageType,GrLivArea,HalfBath,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LotFrontage,LotShape,MSSubClass,MSZoning,MasVnrType,MoSold,Neighborhood,OverallCond,OverallQual,RoofStyle,SaleCondition,TotRmsAbvGrd,TotalBsmtSF,second_floor,Age,YearsSinceSale,SalePrice
0,856,854,3,1Fam,TA,No,GLQ,1.0,Gd,Y,Gd,VinylSd,VinylSd,0,PConc,2,548.0,2.0,RFn,Attchd,1710,1,Ex,2Story,1,Gd,65.0,Reg,60,RL,BrkFace,2,CollgCr,5,7,Gable,Normal,8,856.0,1,7,2,208500.0
1,1262,0,3,1Fam,TA,Gd,ALQ,0.0,Gd,Y,TA,MetalSd,MetalSd,1,CBlock,2,460.0,2.0,RFn,Attchd,1262,0,Ex,1Story,1,TA,80.0,Reg,20,RL,None,5,Veenker,8,6,Gable,Normal,6,1262.0,0,34,3,181500.0
2,920,866,3,1Fam,TA,Mn,GLQ,1.0,Gd,Y,Gd,VinylSd,VinylSd,1,PConc,2,608.0,2.0,RFn,Attchd,1786,1,Ex,2Story,1,Gd,68.0,IR1,60,RL,BrkFace,9,CollgCr,5,7,Gable,Normal,6,920.0,1,9,2,223500.0
3,961,756,3,1Fam,Gd,No,ALQ,1.0,TA,Y,TA,Wd Sdng,Wd Shng,1,BrkTil,1,642.0,3.0,Unf,Detchd,1717,0,Gd,2Story,1,Gd,60.0,IR1,70,RL,None,2,Crawfor,5,7,Gable,Abnorml,7,756.0,1,95,4,140000.0
4,1145,1053,4,1Fam,TA,Av,GLQ,1.0,Gd,Y,Gd,VinylSd,VinylSd,1,PConc,2,836.0,3.0,RFn,Attchd,2198,1,Ex,2Story,1,Gd,84.0,IR1,60,RL,BrkFace,12,NoRidge,5,8,Gable,Normal,9,1145.0,1,10,2,250000.0
5,796,566,1,1Fam,TA,No,GLQ,1.0,Gd,Y,TA,VinylSd,VinylSd,0,Wood,1,480.0,2.0,Unf,Attchd,1362,1,Ex,1.5Fin,1,TA,85.0,IR1,50,RL,None,10,Mitchel,5,5,Gable,Normal,5,796.0,1,17,1,143000.0
6,1694,0,3,1Fam,TA,Av,GLQ,1.0,Ex,Y,Gd,VinylSd,VinylSd,1,PConc,2,636.0,2.0,RFn,Attchd,1694,0,Ex,1Story,1,Gd,75.0,Reg,20,RL,Stone,8,Somerst,5,8,Gable,Normal,7,1686.0,0,6,3,307000.0
7,1107,983,3,1Fam,TA,Mn,ALQ,1.0,Gd,Y,TA,HdBoard,HdBoard,2,CBlock,2,484.0,2.0,RFn,Attchd,2090,1,Ex,2Story,1,TA,0.0,IR1,60,RL,Stone,11,NWAmes,6,7,Gable,Normal,7,1107.0,1,37,1,200000.0
8,1022,752,2,1Fam,TA,No,Unf,0.0,TA,Y,TA,BrkFace,Wd Shng,2,BrkTil,2,468.0,2.0,Unf,Detchd,1774,0,Gd,1.5Fin,2,TA,51.0,Reg,50,RM,None,4,OldTown,5,7,Gable,Abnorml,8,952.0,1,79,2,129900.0
9,1077,0,2,2fmCon,TA,No,GLQ,1.0,TA,Y,TA,MetalSd,MetalSd,2,BrkTil,1,205.0,1.0,RFn,Attchd,1077,0,Ex,1.5Unf,2,TA,50.0,Reg,190,RL,None,1,BrkSide,6,5,Gable,Normal,5,991.0,0,71,2,118000.0
